state,words,images,gifs,videos,stretch goals,backers,campaign dur,twitter followers,steam,platforms,developers,prev campaigns,handdrawn,pixel
1,943,8,8,3,8,525,30,2440,1,4,1,0,1,1
0,1039,15,4,1,7,10,30,7,0,1,3,0,0,0
1,2428,12,9,1,3,858,30,3529,1,1,1,1,1,1
0,386,3,0,0,0,15,36,0,0,1,1,0,1,1
1,798,10,7,1,3,601,30,970,0,2,6,1,1,1
0,1134,15,5,1,0,300,30,2152,1,3,3,1,1,1
1,3549,11,8,1,11,7472,30,10200,1,1,7,1,1,1
0,1196,0,0,1,5,22,25,62,1,1,1,0,1,1
1,1965,16,12,2,5,1163,32,8660,1,3,2,0,1,1
0,2276,5,2,2,3,10,60,0,0,1,1,0,0,1
1,1431,8,8,1,9,2118,30,4511,1,3,4,0,1,0
0,1260,18,2,1,0,278,35,1055,1,2,5,1,1,0
1,2231,12,3,1,3,268,35,113,1,3,9,0,0,0
0,1116,10,0,1,2,217,30,90,1,3,2,0,0,0
1,1869,12,6,1,12,19695,30,22800,1,6,6,0,1,0
0,1166,6,5,1,0,21,30,0,0,3,1,0,0,0
0,2627,10,3,1,3,18,30,0,0,1,1,0,1,0
