state,word count,audio count,gif count,img count,links count,backers count,funding period
0,695,4,8,35,4,98,19
1,465,0,0,17,1,26,30
2,1843,0,19,57,14,1669,31
2,877,0,3,14,12,2864,30
1,703,0,0,7,0,1,30
2,957,0,9,40,9,57,31
2,1601,0,17,36,10,268,34
2,352,1,1,11,2,120,30
0,1392,1,5,30,10,147,30
1,615,0,0,3,4,43,30
1,431,0,0,3,1,3,30
1,134,0,0,0,0,0,45
1,1188,0,1,9,1,10,30
2,558,0,9,35,12,535,30
1,138,0,0,0,0,4,30
1,649,0,17,20,2,10,30
0,572,0,0,20,10,162,30
0,15,0,0,8,0,0,30
0,151,0,0,10,3,95,30
0,656,0,5,13,0,2,59
1,192,0,0,0,0,2,30
0,2201,0,6,51,21,49,30
1,444,0,0,6,1,2,30
0,1190,0,10,24,5,53,30
1,2032,3,2,30,3,69,30
2,942,3,4,62,29,625,40
2,1159,0,1,20,21,3014,30
0,979,2,12,59,2,32,30
0,1354,0,0,7,5,6,60
1,1674,0,1,34,8,43,30
1,2055,0,0,1,2,3,60
2,587,1,15,44,4,63,29
1,575,0,0,2,0,1,29
1,554,0,1,13,7,88,30
0,1002,0,7,15,6,8,30
